Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST Submit Survey 2,1,8599,8599,8599,0.00,0.000%,.11629,10.14,0.29,89271.0
POST Submit Survey 5,1,5644,5644,5644,0.00,0.000%,.17718,15.45,0.44,89269.0
POST Submit Survey 3,1,7754,7754,7754,0.00,0.000%,.12897,11.24,0.32,89271.0
POST Submit Survey 6,1,4892,4892,4892,0.00,0.000%,.20442,17.82,0.51,89269.0
POST Submit Survey 4,1,7034,7034,7034,0.00,0.000%,.14217,12.39,0.35,89277.0
POST Submit Survey 7,1,4660,4660,4660,0.00,0.000%,.21459,18.71,0.53,89269.0
POST Submit Survey 1,1,10739,10739,10739,0.00,0.000%,.09312,8.12,0.23,89263.0
POST Submit Survey 8,1,4326,4326,4326,0.00,0.000%,.23116,20.15,0.58,89269.0
POST Submit Survey 9,1,4788,4788,4788,0.00,0.000%,.20886,18.21,0.52,89269.0
POST Submit Survey 10,1,5154,5154,5154,0.00,0.000%,.19402,16.91,0.48,89269.0
POST Submit Survey 11,1,4777,4777,4777,0.00,0.000%,.20934,18.25,0.52,89269.0
POST Submit Survey 12,1,5384,5384,5384,0.00,0.000%,.18574,16.19,0.46,89269.0
POST Submit Survey 13,1,4903,4903,4903,0.00,0.000%,.20396,17.78,0.51,89269.0
POST Submit Survey 14,1,5144,5144,5144,0.00,0.000%,.19440,16.95,0.48,89269.0
POST Submit Survey 15,1,4787,4787,4787,0.00,0.000%,.20890,18.21,0.52,89269.0
POST Submit Survey 16,1,4734,4734,4734,0.00,0.000%,.21124,18.42,0.53,89269.0
POST Submit Survey 17,1,4877,4877,4877,0.00,0.000%,.20504,17.88,0.51,89269.0
POST Submit Survey 18,1,4813,4813,4813,0.00,0.000%,.20777,18.11,0.52,89269.0
POST Submit Survey 19,1,5462,5462,5462,0.00,0.000%,.18308,15.96,0.46,89269.0
POST Submit Survey 20,1,5192,5192,5192,0.00,0.000%,.19260,16.79,0.48,89269.0
POST Submit Survey 21,1,4609,4609,4609,0.00,0.000%,.21697,18.91,0.54,89269.0
POST Submit Survey 22,1,4706,4706,4706,0.00,0.000%,.21249,18.52,0.53,89269.0
POST Submit Survey 23,1,4376,4376,4376,0.00,0.000%,.22852,19.92,0.57,89269.0
POST Submit Survey 24,1,4786,4786,4786,0.00,0.000%,.20894,18.21,0.52,89269.0
POST Submit Survey 25,1,5156,5156,5156,0.00,0.000%,.19395,16.91,0.48,89269.0
POST Submit Survey 26,1,5453,5453,5453,0.00,0.000%,.18339,15.99,0.46,89269.0
POST Submit Survey 27,1,4812,4812,4812,0.00,0.000%,.20781,18.12,0.52,89269.0
POST Submit Survey 28,1,4859,4859,4859,0.00,0.000%,.20580,17.94,0.51,89269.0
POST Submit Survey 29,1,5142,5142,5142,0.00,0.000%,.19448,16.95,0.48,89269.0
POST Submit Survey 30,1,4768,4768,4768,0.00,0.000%,.20973,18.28,0.52,89269.0
POST Submit Survey 31,1,4872,4872,4872,0.00,0.000%,.20525,17.89,0.51,89269.0
POST Submit Survey 32,1,4739,4739,4739,0.00,0.000%,.21101,18.40,0.53,89269.0
